# ------------------------------------------------------------------------------
# new life in MC2 - test integration runs
#------------------------------------------------------------------------------
TABLE TrkPanelMap 1-10000
# mnid dtcid link  pln ppid  pnl zfc
#------------------------------------------------------------------------------
# root [1] print_trk_panel_map(0);          // slot 0
  244,   21,   4,   0,   17,  1,   0
  210,   21,   1,   0,   17,  3,   0
  191,   21,   2,   0,   17,  5,   0
  126,   21,   5,   0,   17,  2,   1
  269,   21,   0,   0,   17,  4,   1
  120,   21,   3,   0,   17,  0,   1
  074,   20,   5,   1,    4,  2,   2
  073,   20,   2,   1,    4,  0,   2
  077,   20,   1,   1,    4,  4,   2
  242,   20,   4,   1,    4,  1,   3
  038,   20,   3,   1,    4,  5,   3
  065,   20,   0,   1,    4,  3,   3
# root [1] print_trk_panel_map(5);        // slot 5
  034,   20,   5,  10,    5,  1,   0
  093,   20,   2,  10,    5,  3,   0
  111,   20,   1,  10,    5,  5,   0
  118,   20,   4,  10,    5,  2,   1
  113,   20,   3,  10,    5,  4,   1
  085,   20,   0,  10,    5,  0,   1
  175,   21,   4,  11,   24,  2,   2
  260,   21,   1,  11,   24,  0,   2
  252,   21,   2,  11,   24,  4,   2
  257,   21,   5,  11,   24,  1,   3
  259,   21,   0,  11,   24,  5,   3
  243,   21,   3,  11,   24,  3,   3
#------------------------------------------------------------------------------
# root [3] print_trk_panel_map(10);       // slot 10
  199,   18,   4,  20,    9,  1,   0
  080,   18,   1,  20,    9,  3,   0
  133,   18,   2,  20,    9,  5,   0
  278,   18,   5,  20,    9,  2,   1
  122,   18,   0,  20,    9,  4,   1
  150,   18,   3,  20,    9,  0,   1
  270,   19,   5,  21,   19,  2,   2
  202,   19,   2,  21,   19,  0,   2
  072,   19,   1,  21,   19,  4,   2
  200,   19,   4,  21,   19,  1,   3
  193,   19,   3,  21,   19,  5,   3
  112,   19,   0,  21,   19,  3,   3
#------------------------------------------------------------------------------
# root [12] print_trk_panel_map(11);      // slot 11 PM:  not reliable, needs a double check
  043,   17,   5,  22,   33,  2,   0
  169,   17,   2,  22,   33,  0,   0
  052,   17,   1,  22,   33,  4,   0
  039,   17,   4,  22,   33,  1,   1
  035,   17,   3,  22,   33,  5,   1
  053,   17,   0,  22,   33,  3,   1
  275,   16,   4,  23,   29,  1,   2
  254,   16,   1,  23,   29,  3,   2
  229,   16,   3,  23,   29,  5,   3
  274,   16,   5,  23,   29,  0,   3
  151,   16,   0,  23,   29,  4,   3
  225,   16,   2,  23,   29,  2,   3
#------------------------------------------------------------------------------
# root [13] print_trk_panel_map(12);       // slot 12 PM: not reliable, needs a double check
  139,   14,   4,  24,   27,  1,   0
  145,   14,   1,  24,   27,  3,   0
  082,   14,   2,  24,   27,  5,   0
  155,   14,   5,  24,   27,  2,   1
  132,   14,   0,  24,   27,  4,   1
  207,   14,   3,  24,   27,  0,   1
  067,   15,   5,  25,    3,  2,   2
  064,   15,   2,  25,    3,  0,   2
  069,   15,   1,  25,    3,  4,   2
  063,   15,   4,  25,    3,  1,   3
  062,   15,   3,  25,    3,  5,   3
  055,   15,   0,  25,    3,  3,   3
#------------------------------------------------------------------------------
# 2026-01-17 PM: needs double checking, at least can be used with stations 4,5,14 w/o confclicts
TABLE TrkPanelMap 107000-107999
# mnid dtcid link  pln ppid  pnl zfc
  261,   18,   0,   1,   25,  3,   3
  248,   18,   1,   1,   25,  4,   2
  224,   18,   2,   1,   25,  0,   2
  262,   18,   3,   1,   25,  5,   3
  273,   18,   4,   1,   25,  1,   3
  276,   18,   5,   1,   25,  2,   2
  253,   19,   0,   0,   21,  4,   1
  101,   19,   1,   0,   21,  3,   0
  219,   19,   2,   0,   21,  5,   0
  213,   19,   3,   0,   21,  0,   1
  235,   19,   4,   0,   21,  1,   0
  247,   19,   5,   0,   21,  2,   1
#------------------------------------------------------------------------------
#            tower
  400,   44,   0,  99,   99,  0,   0
  401,   44,   1,  99,   99,  1,   0
  402,   44,   2,  99,   99,  2,   0
  403,   44,   3,  99,   99,  3,   0
  404,   44,   4,  99,   99,  4,   0
  405,   44,   5,  99,   99,  5,   0
# ------------------------------------------------------------------------------
# new life in MC2
#------------------------------------------------------------------------------
TABLE TrkPanelMap 108000-120470
# mnid dtcid link  pln ppid  pnl zfc
#------------------------------------------------------------------------------
# root [1] print_trk_panel_map(0);          // slot 0
  244,   21,   4,   0,   17,  1,   0
  210,   21,   1,   0,   17,  3,   0
  191,   21,   2,   0,   17,  5,   0
  126,   21,   5,   0,   17,  2,   1
  269,   21,   0,   0,   17,  4,   1
  120,   21,   3,   0,   17,  0,   1
  074,   20,   5,   1,    4,  2,   2
  073,   20,   2,   1,    4,  0,   2
  077,   20,   1,   1,    4,  4,   2
  242,   20,   4,   1,    4,  1,   3
  038,   20,   3,   1,    4,  5,   3
  065,   20,   0,   1,    4,  3,   3
#------------------------------------------------------------------------------
# root [1] print_trk_panel_map(5);        // slot 5
#  034,   20,   5,  10,    5,  1,   0
#  093,   20,   2,  10,    5,  3,   0
#  111,   20,   1,  10,    5,  5,   0
#  118,   20,   4,  10,    5,  2,   1
#  113,   20,   3,  10,    5,  4,   1
#  085,   20,   0,  10,    5,  0,   1
#  175,   21,   4,  11,   24,  2,   2
#  260,   21,   1,  11,   24,  0,   2
#  252,   21,   2,  11,   24,  4,   2
#  257,   21,   5,  11,   24,  1,   3
#  259,   21,   0,  11,   24,  5,   3
#  243,   21,   3,  11,   24,  3,   3
#------------------------------------------------------------------------------
# root [3] print_trk_panel_map(10);       // slot 10
  199,   18,   4,  20,    9,  1,   0
  080,   18,   1,  20,    9,  3,   0
  133,   18,   2,  20,    9,  5,   0
  278,   18,   5,  20,    9,  2,   1
  122,   18,   0,  20,    9,  4,   1
  150,   18,   3,  20,    9,  0,   1
  270,   19,   5,  21,   19,  2,   2
  202,   19,   2,  21,   19,  0,   2
  072,   19,   1,  21,   19,  4,   2
  200,   19,   4,  21,   19,  1,   3
  193,   19,   3,  21,   19,  5,   3
  112,   19,   0,  21,   19,  3,   3
#------------------------------------------------------------------------------
# root [12] print_trk_panel_map(11);      // slot 11 PM:  not reliable, needs a double check
  043,   17,   5,  22,   33,  2,   0
  169,   17,   2,  22,   33,  0,   0
  052,   17,   1,  22,   33,  4,   0
  039,   17,   4,  22,   33,  1,   1
  035,   17,   3,  22,   33,  5,   1
  053,   17,   0,  22,   33,  3,   1
  275,   16,   4,  23,   29,  1,   2
  254,   16,   1,  23,   29,  3,   2
  229,   16,   3,  23,   29,  5,   3
  274,   16,   5,  23,   29,  0,   3
  151,   16,   0,  23,   29,  4,   3
  225,   16,   2,  23,   29,  2,   3
#------------------------------------------------------------------------------
# root [13] print_trk_panel_map(12);       // slot 12 PM: not reliable, needs a double check
  139,   14,   4,  24,   27,  1,   0
  145,   14,   1,  24,   27,  3,   0
  082,   14,   2,  24,   27,  5,   0
  155,   14,   5,  24,   27,  2,   1
  132,   14,   0,  24,   27,  4,   1
  207,   14,   3,  24,   27,  0,   1
  067,   15,   5,  25,    3,  2,   2
  064,   15,   2,  25,    3,  0,   2
  069,   15,   1,  25,    3,  4,   2
  063,   15,   4,  25,    3,  1,   3
  062,   15,   3,  25,    3,  5,   3
  055,   15,   0,  25,    3,  3,   3
#------------------------------------------------------------------------------
TABLE TrkPanelMap 120471-121699
# mnid dtcid link  pln ppid  pnl zfc
#------------------------------------------------------------------------------
# root [1] print_trk_panel_map(0);          // slot 0
  244,   21,   4,   0,   17,  1,   0
  210,   21,   1,   0,   17,  3,   0
  191,   21,   2,   0,   17,  5,   0
  126,   21,   5,   0,   17,  2,   1
  269,   21,   0,   0,   17,  4,   1
  120,   21,   3,   0,   17,  0,   1
  074,   20,   5,   1,    4,  2,   2
  073,   20,   2,   1,    4,  0,   2
  077,   20,   1,   1,    4,  4,   2
  242,   20,   4,   1,    4,  1,   3
  038,   20,   3,   1,    4,  5,   3
  065,   20,   0,   1,    4,  3,   3
#------------------------------------------------------------------------------
# root [1] print_trk_panel_map(5);        // slot 5
#  034,   20,   5,  10,    5,  1,   0
#  093,   20,   2,  10,    5,  3,   0
#  111,   20,   1,  10,    5,  5,   0
#  118,   20,   4,  10,    5,  2,   1
#  113,   20,   3,  10,    5,  4,   1
#  085,   20,   0,  10,    5,  0,   1
#  175,   21,   4,  11,   24,  2,   2
#  260,   21,   1,  11,   24,  0,   2
#  252,   21,   2,  11,   24,  4,   2
#  257,   21,   5,  11,   24,  1,   3
#  259,   21,   0,  11,   24,  5,   3
#  243,   21,   3,  11,   24,  3,   3
#------------------------------------------------------------------------------
# root [3] print_trk_panel_map(10);       // slot 10
  199,   17,   4,  20,    9,  1,   0
  080,   17,   1,  20,    9,  3,   0
  133,   17,   2,  20,    9,  5,   0
  278,   17,   5,  20,    9,  2,   1
  122,   17,   0,  20,    9,  4,   1
  150,   17,   3,  20,    9,  0,   1
  270,   18,   5,  21,   19,  2,   2
  202,   18,   2,  21,   19,  0,   2
  072,   18,   1,  21,   19,  4,   2
  200,   18,   4,  21,   19,  1,   3
  193,   18,   3,  21,   19,  5,   3
  112,   18,   0,  21,   19,  3,   3
#------------------------------------------------------------------------------
# root [12] print_trk_panel_map(11);      // slot 11 PM:  not reliable, needs a double check
  043,   16,   5,  22,   33,  2,   0
  169,   16,   2,  22,   33,  0,   0
  052,   16,   1,  22,   33,  4,   0
  039,   16,   4,  22,   33,  1,   1
  035,   16,   3,  22,   33,  5,   1
  053,   16,   0,  22,   33,  3,   1
  275,   15,   4,  23,   29,  1,   2
  254,   15,   1,  23,   29,  3,   2
  229,   15,   3,  23,   29,  5,   2
  274,   15,   5,  23,   29,  0,   3
  151,   15,   0,  23,   29,  4,   3
  225,   15,   2,  23,   29,  2,   3
#------------------------------------------------------------------------------
# root [13] print_trk_panel_map(12);       // slot 12 PM: not reliable, needs a double check
  139,   13,   4,  24,   27,  1,   0
  145,   13,   1,  24,   27,  3,   0
  082,   13,   2,  24,   27,  5,   0
  155,   13,   5,  24,   27,  2,   1
  132,   13,   0,  24,   27,  4,   1
  207,   13,   3,  24,   27,  0,   1
  067,   14,   5,  25,    3,  2,   2
  064,   14,   2,  25,    3,  0,   2
  069,   14,   1,  25,    3,  4,   2
  063,   14,   4,  25,    3,  1,   3
  062,   14,   3,  25,    3,  5,   3
  055,   14,   0,  25,    3,  3,   3
#------------------------------------------------------------------------------
TABLE TrkPanelMap 121700-200000
# mnid dtcid link  pln ppid  pnl zfc
# root [11] print_trk_panel_map(9)
137,    1,   5,  18,    8,  2,   0
045,    1,   2,  18,    8,  0,   0
129,    1,   1,  18,    8,  4,   0
106,    1,   4,  18,    8,  1,   1
098,    1,   3,  18,    8,  5,   1
078,    1,   0,  18,    8,  3,   1
204,    2,   4,  19,   22,  1,   2
208,    2,   1,  19,   22,  3,   2
226,    2,   2,  19,   22,  5,   2
230,    2,   5,  19,   22,  2,   3
223,    2,   0,  19,   22,  4,   3
228,    2,   3,  19,   22,  0,   3
#root [1] print_trk_panel_map(1)
026,   30,   5,   2,   17,  2,   0
056,   30,   2,   2,   17,  0,   0
059,   30,   1,   2,   17,  4,   0
239,   30,   4,   2,   17,  1,   1
060,   30,   3,   2,   17,  5,   1
099,   30,   0,   2,   17,  3,   1
090,   29,   4,   3,    4,  1,   2
119,   29,   1,   3,    4,  3,   2
088,   29,   2,   3,    4,  5,   2
130,   29,   5,   3,    4,  2,   3
108,   29,   0,   3,    4,  4,   3
127,   29,   3,   3,    4,  0,   3
#root [2] print_trk_panel_map(2)
083,   32,   4,   4,   35,  1,   0
209,   32,   1,   4,   35,  3,   0
256,   32,   2,   4,   35,  5,   0
070,   32,   5,   4,   35,  2,   1
279,   32,   0,   4,   35,  4,   1
042,   32,   3,   4,   35,  0,   1
185,   31,   5,   5,   34,  2,   2
030,   31,   2,   5,   34,  0,   2
189,   31,   1,   5,   34,  4,   2
215,   31,   4,   5,   34,  1,   3
115,   31,   3,   5,   34,  5,   3
081,   31,   0,   5,   34,  3,   3
#root [3] print_trk_panel_map(3)
168,   34,   5,   6,   16,  2,   0
040,   34,   2,   6,   16,  0,   0
134,   34,   1,   6,   16,  4,   0
136,   34,   4,   6,   16,  1,   1
094,   34,   3,   6,   16,  5,   1
096,   34,   0,   6,   16,  3,   1
131,   33,   4,   7,   13,  1,   2
181,   33,   1,   7,   13,  3,   2
179,   33,   2,   7,   13,  5,   2
176,   33,   5,   7,   13,  2,   3
079,   33,   0,   7,   13,  4,   3
135,   33,   3,   7,   13,  0,   3
# root [12] print_trk_panel_map(10)
199,   17,   4,  20,    9,  1,   0
080,   17,   1,  20,    9,  3,   0
133,   17,   2,  20,    9,  5,   0
278,   17,   5,  20,    9,  2,   1
122,   17,   0,  20,    9,  4,   1
150,   17,   3,  20,    9,  0,   1
270,   18,   5,  21,   19,  2,   2
202,   18,   2,  21,   19,  0,   2
072,   18,   1,  21,   19,  4,   2
200,   18,   4,  21,   19,  1,   3
193,   18,   3,  21,   19,  5,   3
112,   18,   0,  21,   19,  3,   3
