TABLE CRVTime
#channel,timeOffset
0,0
1,26.2415
2,0
3,26.2415
4,0
5,26.2415
6,0
7,26.2415
8,0
9,26.2415
10,0
11,26.2415
12,0
13,26.2415
14,0
15,26.2415
16,0
17,26.2415
18,0
19,26.2415
20,0
21,26.2415
22,0
23,26.2415
24,0
25,26.2415
26,0
27,26.2415
28,0
29,26.2415
30,0
31,26.2415
32,-0.00433266
33,27.1811
34,-0.00433266
35,27.1811
36,-0.00433266
37,27.1811
38,-0.00433266
39,27.1811
40,-0.00433266
41,27.1811
42,-0.00433266
43,27.1811
44,-0.00433266
45,27.1811
46,-0.00433266
47,27.1811
48,-0.00433266
49,27.1811
50,-0.00433266
51,27.1811
52,-0.00433266
53,27.1811
54,-0.00433266
55,27.1811
56,-0.00433266
57,27.1811
58,-0.00433266
59,27.1811
60,-0.00433266
61,27.1811
62,-0.00433266
63,27.1811
64,1.12033
65,26.9665
66,1.12033
67,26.9665
68,1.12033
69,26.9665
70,1.12033
71,26.9665
72,1.12033
73,26.9665
74,1.12033
75,26.9665
76,1.12033
77,26.9665
78,1.12033
79,26.9665
80,1.12033
81,26.9665
82,1.12033
83,26.9665
84,1.12033
85,26.9665
86,1.12033
87,26.9665
88,1.12033
89,26.9665
90,1.12033
91,26.9665
92,1.12033
93,26.9665
94,1.12033
95,26.9665
96,1.83664
97,28.0968
98,1.83664
99,28.0968
100,1.83664
101,28.0968
102,1.83664
103,28.0968
104,1.83664
105,28.0968
106,1.83664
107,28.0968
108,1.83664
109,28.0968
110,1.83664
111,28.0968
112,1.83664
113,28.0968
114,1.83664
115,28.0968
116,1.83664
117,28.0968
118,1.83664
119,28.0968
120,1.83664
121,28.0968
122,1.83664
123,28.0968
124,1.83664
125,28.0968
126,1.83664
127,28.0968
128,-0.358527
129,26.2495
130,-0.358527
131,26.2495
132,-0.358527
133,26.2495
134,-0.358527
135,26.2495
136,-0.358527
137,26.2495
138,-0.358527
139,26.2495
140,-0.358527
141,26.2495
142,-0.358527
143,26.2495
144,-0.358527
145,26.2495
146,-0.358527
147,26.2495
148,-0.358527
149,26.2495
150,-0.358527
151,26.2495
152,-0.358527
153,26.2495
154,-0.358527
155,26.2495
156,-0.358527
157,26.2495
158,-0.358527
159,26.2495
160,0.636016
161,26.4099
162,0.636016
163,26.4099
164,0.636016
165,26.4099
166,0.636016
167,26.4099
168,0.636016
169,26.4099
170,0.636016
171,26.4099
172,0.636016
173,26.4099
174,0.636016
175,26.4099
176,0.636016
177,26.4099
178,0.636016
179,26.4099
180,0.636016
181,26.4099
182,0.636016
183,26.4099
184,0.636016
185,26.4099
186,0.636016
187,26.4099
188,0.636016
189,26.4099
190,0.636016
191,26.4099
192,1.15991
193,26.6636
194,1.15991
195,26.6636
196,1.15991
197,26.6636
198,1.15991
199,26.6636
200,1.15991
201,26.6636
202,1.15991
203,26.6636
204,1.15991
205,26.6636
206,1.15991
207,26.6636
208,1.15991
209,26.6636
210,1.15991
211,26.6636
212,1.15991
213,26.6636
214,1.15991
215,26.6636
216,1.15991
217,26.6636
218,1.15991
219,26.6636
220,1.15991
221,26.6636
222,1.15991
223,26.6636
224,2.08804
225,27.5282
226,2.08804
227,27.5282
228,2.08804
229,27.5282
230,2.08804
231,27.5282
232,2.08804
233,27.5282
234,2.08804
235,27.5282
236,2.08804
237,27.5282
238,2.08804
239,27.5282
240,2.08804
241,27.5282
242,2.08804
243,27.5282
244,2.08804
245,27.5282
246,2.08804
247,27.5282
248,2.08804
249,27.5282
