TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
0,2037.6,18.1472,535.761
1,2043.79,15.4787,443.857
2,2044.18,18.5364,538.844
3,2053.86,16.3699,464.341
4,2056.01,19.5205,526.858
5,2051.25,16.8603,465.98
6,2049.14,17.9909,476.984
7,2039.7,16.4851,441.712
8,2037.68,18.9057,540.808
9,2039.09,16.3066,467.38
10,2052.27,19.0443,549.861
11,2061.3,17.2745,492.273
12,2029.24,19.0483,548.758
13,2042.74,16.5823,471.871
14,2037.73,18.9138,536.526
15,2041.45,15.2902,440.88
16,2045.63,18.51,516.476
17,2028.34,17.6383,520.355
18,2027.78,19.3541,565.813
19,2049.09,17.0971,509.498
20,2047.82,20.3552,577.345
21,2060.1,17.6319,505.198
22,2052.6,20.5236,565.058
23,2049.19,17.9582,512.712
24,2042.09,20.4211,574.549
25,2046.42,16.8462,484.486
26,2038.4,19.8149,564.594
27,2049.08,17.1644,494.472
28,2064.7,19.8679,566.867
29,2048.79,16.5371,474.892
30,2034.48,18.6275,545.439
31,2067.1,16.9101,479.623
32,2035.8,19.5845,571.872
33,2039.14,16.8292,472.187
34,2040.2,20.3571,576.202
35,2030.8,17.7024,488.783
36,2050.73,19.3713,554.749
37,2047.83,17.9607,491.762
38,2045.73,20.1958,563.538
39,2051.3,16.2849,451.328
40,2030.94,18.8597,546.541
41,2051.69,16.0066,441.151
42,2052.5,18.5387,548.448
43,2046.49,15.9121,444.807
44,2059.93,18.734,537.054
45,2038.12,15.8831,430.115
46,2043.75,19.3911,546.118
47,2035.2,15.684,439.207
48,2042.58,17.5375,489.407
49,2044.88,18.2219,501.129
50,2041.57,18.1364,507.837
51,2041.97,16.9653,482.21
52,2038.2,17.1285,495.512
53,2042.35,18.5063,510.665
54,2038.73,17.5482,491.585
55,2053.35,16.9856,467.315
56,2053.4,16.6798,486.687
57,2054.01,16.5832,479.822
58,2068.36,16.655,487.129
59,2040.59,17.395,496.417
60,2035.27,17.7033,503.555
61,2047.45,17.1725,490.003
62,2045.02,17.2118,502.523
63,2046.1,16.8737,471.917
64,2046.94,16.7257,491.377
65,2058.71,17.8555,500.41
66,2039.89,16.8932,485.624
67,2032.94,17.7972,512.589
68,2053.4,17.8796,488.612
69,2053.97,18.2664,516.144
70,2048.93,17.2541,470.226
71,2038.01,17.9413,491.263
72,2037.75,18.2258,509.046
73,2049.65,19.8462,560.225
74,2040.71,17.0995,489.898
75,2062.41,19.6271,556.072
76,2054.26,16.8768,468.72
77,2051.75,19.8408,559.856
78,2044.25,17.6376,498.608
79,2056.5,19.1006,550.746
80,2039.36,19.3462,544.082
81,2045.06,15.1815,437.397
82,2058.77,18.3978,541.008
83,2038.67,15.3933,446.53
84,2042.05,19.1489,544.283
85,2042.03,14.4017,422.664
86,2034.73,19.3333,549.3
87,2050.66,14.654,431.046
88,2035.96,18.9516,562.873
89,2061.02,16.3728,500.911
90,2045.67,20.174,578.514
91,2054.34,15.9678,464.165
92,2038.77,18.4974,538.201
93,2063.12,15.1806,446.114
94,2039.34,20.2955,562.131
95,2049.3,15.6091,458.918
96,2054.01,18.3114,516.467
97,2053.75,16.6143,478.7
98,2047.35,17.7478,507.148
99,2054.07,16.3062,473.249
100,2056.1,17.7472,504.745
101,2036.65,17.2488,481.531
102,2069.19,18.5811,518.533
103,2048.64,16.8755,473.112
104,2029.12,16.9097,495.473
105,2030.95,14.7098,424.419
106,2047.23,17.8296,512.184
107,2052.39,14.7895,434.022
108,2059.45,16.8575,493.837
109,2037.88,14.2679,421.163
110,2038.31,18.1561,509.412
111,2067.69,14.224,411.912
112,2054.72,17.0236,478.363
113,2061.01,17.1266,495.628
114,2047.41,17.2445,483.934
115,2054.5,17.2722,481.936
116,2049.23,17.3768,483.883
117,2048.25,17.7403,482.3
118,2061.88,17.5795,484.059
119,2061.34,17.3955,477.501
120,2044.8,18.0201,485.678
121,2052.41,18.6171,518.283
122,2057.26,17.9772,493.713
123,2046.96,18.3839,520.263
124,2045.15,16.8616,476.527
125,2043.16,18.9485,531.246
126,2056.59,18.0306,489.638
127,2052.71,17.7528,508.161
128,2047.11,18.6656,539.929
129,2046.46,15.8353,442.142
130,2038.47,19.3347,521.202
131,2046.23,15.3179,419.007
132,2027.54,19.1768,543.836
133,2039.84,15.7246,438.56
134,2043.03,17.792,465.717
135,2041.9,14.2398,375.704
136,2042.06,18.942,545.016
137,2020.82,15.4469,450.238
138,2039.38,19.3865,548.091
139,2033.24,15.5395,451.158
140,2054.37,19.0322,525.128
141,2048.84,15.3708,420.579
142,2035.33,19.3796,539.429
143,2035.55,15.5457,430.016
144,2050.58,18.9918,549.595
145,2040.52,17.3562,487.455
146,2049.56,19.7293,545.561
147,2051.97,17.4513,492.812
148,2039.48,18.845,536.477
149,2037.79,15.8536,452.44
150,2054.96,19.5705,536.763
151,2054.54,17.2716,473.507
152,2054.62,18.8556,538.177
153,2050.95,16.0372,476.677
154,2052.99,17.7983,520.533
155,2041.84,16.2361,468.366
156,2047.71,19.4619,540.97
157,2037.97,16.1107,469.206
158,2045.57,20.0152,555.653
159,2067.07,16.3047,454.637
160,2042.94,18.0213,508.234
161,2057.75,16.9318,476.847
162,2063.93,18.9222,526.799
163,2050.87,15.5075,451.087
164,2049.44,18.6911,519.19
165,2053.27,16.2366,463.878
166,2048.97,19.4087,515.138
167,2040.69,15.3648,418.171
168,2054.33,19.112,532.373
169,2043.14,16.1872,460.547
170,2039.17,19.245,533.008
171,2053.63,16.3359,467.019
172,2052.92,18.3348,525.257
173,2046.85,16.0537,457.521
174,2057.52,20.0394,545.979
175,2045.88,16.7451,465.495
176,2044.65,16.773,476.349
177,2024.78,17.2257,487.999
178,2063.18,16.0139,466.951
179,2040.22,17.3244,495.507
180,2047.26,16.7576,475.277
181,2047.29,17.8166,493.778
182,2045.28,17.4261,479.822
183,2061.47,17.7338,493.233
184,2039.14,18.232,500.026
185,2033.57,15.4195,455.382
186,2043.25,16.6465,474.289
187,2034.19,16.3838,476.361
188,2052.77,17.6071,489.845
189,2036.7,16.3999,464.432
190,2058.16,17.7609,484.541
191,2064.38,16.5617,454.237
192,2044.68,21.0347,602.173
193,2021.42,16.504,469.553
194,2036.53,20.8919,609.297
195,2013.23,14.9675,454.969
196,2030.89,21.8835,609.749
197,2032.52,16.0599,461.834
198,2046.13,20.2789,584.83
199,2035.35,15.5253,460.569
200,2049.68,21.6931,608.389
201,2055.61,15.7332,467.575
202,2054.89,20.2135,575.963
203,2048.71,15.6039,464.347
204,2054.97,19.5205,558.459
205,2051.82,16.7839,487.529
206,2062.18,20.0739,577.425
207,2035.95,15.3872,457.891
208,2040.47,18.0898,501.013
209,2048.16,17.4849,508.114
210,2034.09,17.7122,497.121
211,2062.56,17.6658,511.652
212,2055.81,18.4928,504.455
213,2039.41,16.4061,485.872
214,2049.43,19.4005,522.032
215,2039.1,16.1705,469.82
216,2054.11,19.2698,512.278
217,2041.83,16.8206,490.659
218,2041.44,18.8944,520.021
219,2050.26,17.1987,498.799
220,2046.21,18.1786,500.417
221,2044.3,16.2049,487.101
222,2048.25,18.2908,504.401
223,2049.24,17.6193,507.162
224,2039.39,16.3005,463.27
225,2034.62,15.2189,432.925
226,2024.72,17.1078,478.207
227,2036.87,15.1656,442.533
228,2035.43,16.0239,463.737
229,2054.81,14.5625,430.54
230,2044.9,16.424,443.011
231,2041.44,15.2875,432.708
232,2036.74,16.0492,448.002
233,2055.65,15.0132,437.147
234,2054.46,15.5103,444.155
235,2030.01,14.3731,429.134
236,2044.72,17.2267,468.949
237,2035.97,14.0965,410.686
238,2048.48,15.0132,440.706
239,2049.51,14.9194,427.57
240,2043.27,17.3771,493.131
241,2040.34,18.8647,558.359
242,2047.95,17.7019,493.825
243,2060.82,19.5074,559.746
244,2031.26,17.8356,492.742
245,2045.19,19.633,555.659
246,2050.02,17.7893,492.161
247,2045.85,19.0961,551.252
248,2036.64,18.0813,501.316
249,2037.68,20.0254,571.138
250,2070.68,16.9867,487.759
251,2045.31,19.1109,566.109
252,2043.55,16.5487,467.625
253,2047.86,19.4555,559.303
254,2060.1,16.4002,469.483
255,2040.74,20.4426,578.504
256,2039.82,16.0852,473.062
257,2057.77,15.2387,419.45
258,2034.85,15.5994,458.989
259,2040.38,14.8208,382.841
260,2046.12,15.7318,447.524
261,2061.72,14.9837,397.215
262,2021.8,15.5202,405.763
263,2038.85,14.9044,366.84
264,2033.1,15.7726,477.968
265,2043.19,15.567,419.226
266,2056.35,16.2853,479.889
267,2041.49,15.1894,422.466
268,2045.71,15.5291,447.48
269,2041.46,14.2736,394.309
270,2049.98,16.2599,463.156
271,2047.4,14.7202,377.939
272,2041.56,15.1468,429.041
273,2047.69,16.0001,453.521
274,2051.7,14.7286,431.917
275,2031.38,16.108,456.489
276,2035.9,14.9316,422.999
277,2054.86,15.5165,439.412
278,2031.4,14.9771,422.148
279,2039.24,17.0127,464.867
280,2038.34,15.8382,456.63
281,2055.06,15.9213,450.253
282,2044.62,15.7207,468.855
283,2039.57,16.7096,461.118
284,2033.74,14.5799,395.986
285,2047.8,17.1117,465.84
286,2034.27,15.1246,426.52
287,2042,16.915,460.137
288,2038.28,14.7603,429.776
289,2064.76,16.3699,478.463
290,2047.5,14.6165,427.123
291,2041.99,16.3126,474.964
292,2039.31,13.9684,393.356
293,2042.15,16.2832,462.875
294,2061.18,14.5204,405.534
295,2044.39,16.3096,443.303
296,2041.08,14.7646,423.565
297,2059.35,16.6088,480.764
298,2056.64,14.8632,439.057
299,2041.67,16.1819,474.497
300,2046,14.8817,430.63
301,2045.81,16.9529,482.886
302,2041.94,14.8111,418.944
303,2047.65,16.1844,443.516
304,2047.26,18.168,523.182
305,2038.36,13.0969,383.679
306,2035.59,17.6605,526.116
307,2025.59,12.8126,385.065
