TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
199,2035.57,16.301,473.384
200,2049.48,22.6244,634.891
201,2055.68,16.4517,484.142
202,2054.91,21.2188,605.485
203,2048.68,16.4486,483.712
204,2054.87,20.5387,586.314
205,2051.46,17.6123,509.434
206,2062.21,21.0893,615.967
207,2035.88,16.2901,482.992
208,2040.19,19.0185,521.428
209,2046.83,19.4741,628.681
210,2034.79,18.6735,519.083
211,2062.71,18.6927,542.159
212,2055.83,19.3431,519.146
213,2038.33,17.6235,547.217
214,2049.67,20.3865,532.356
215,2038.3,17.6561,541.475
216,2053.91,20.2514,541.12
217,2041.8,17.6669,509.653
218,2041.47,19.9818,542.866
219,2050.12,18.0557,516.118
220,2046.69,19.0961,514.68
221,2044.36,16.9323,499.622
222,2048.29,19.2508,518.76
223,2049.89,18.3432,515.868
224,2039.5,17.2296,486.283
225,2034.95,16.0489,453.728
226,2024.8,18.0274,502.643
227,2037,16.0054,459.619
228,2035.32,16.8995,486.431
229,2055.2,15.3516,444.532
230,2044.93,17.3952,478.514
231,2041.66,16.018,451.319
232,2036.81,16.9227,468.571
233,2055.6,15.9566,462.103
234,2054.43,16.4185,466.928
235,2029.97,15.3232,450.774
236,2044.44,18.0658,490.493
237,2035.81,14.9843,432.763
238,2048.43,15.9668,464.085
239,2049.67,15.7937,445.659
240,2043.19,18.3589,517.929
241,2040.06,19.9203,579.896
242,2047.84,18.6699,520.247
243,2061.27,20.522,585.793
244,2030.96,18.7221,515.188
245,2045.02,20.6447,583.634
246,2050.04,18.7485,518.767
247,2046.09,20.0564,567.828
248,2036.28,18.985,523.811
249,2037.5,21.2194,593.272
250,2070.58,17.9099,511.109
251,2045.26,20.1426,585.639
252,2044.08,17.3871,494.153
253,2048.01,20.4636,583.634
254,2059.8,17.3031,490.211
255,2040.76,21.4568,594.472
256,2039.94,16.9474,486.44
257,2057.86,15.2481,415.037
258,2035,16.3742,467.311
259,2040.42,14.828,381.933
260,2046.42,16.3874,453.966
261,2062.17,14.5947,379.5
262,2021.62,16.2245,427.468
263,2039.08,15.11,367.552
264,2032.88,16.8994,511.02
265,2043.32,15.5026,422.191
266,2055.41,17.7705,557.044
267,2041.48,15.4526,422.249
268,2046.02,16.3099,463.002
269,2041.15,14.7034,402.674
270,2050.5,16.8514,462.66
271,2047.06,15.8653,418.45
272,2041.54,15.9567,451.908
273,2047.76,16.2184,445.244
