TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
0,2037.75,12.1712,350.428
1,2043.54,11.8853,355.17
2,2044.6,12.8625,350.355
3,2053.14,12.5078,388.214
4,2055.8,14.3804,381.253
5,2050.8,13.0258,365.036
6,2049.14,15.052,388.688
7,2040.46,13.5692,337.594
8,2037.89,13.8781,391.696
9,2039.07,11.2646,317.4
10,2052.3,12.9241,371.488
11,2061.83,12.0106,342.21
12,2029.34,12.7629,367.677
13,2042.97,12.6123,348.597
14,2037.78,13.6044,375.189
15,2042.07,12.0658,335.225
16,2045.97,12.2687,323.535
17,2028.28,11.5219,330.319
18,2027.96,12.5637,364.535
19,2049.21,11.9186,352.552
20,2047.75,12.4099,356.487
21,2060.23,12.7654,365.655
22,2053.44,13.9249,364.63
23,2049.31,13.1713,370.494
24,2041.98,13.1387,364.358
25,2046.53,12.7489,366.227
26,2038.45,12.7355,364.385
27,2049.3,13.013,376.486
28,2064.69,12.851,371.62
29,2049.33,13.73,383.25
30,2034.4,12.8883,372.273
31,2067.43,12.8561,345.834
32,2035.58,12.128,354.668
33,2039.45,12.7995,352.975
34,2040.24,12.202,343.695
35,2030.98,14.0001,384.536
36,2051.03,13.0643,362.592
37,2047.8,14.0441,382.263
38,2045.93,13.431,371.97
39,2051.14,13.6902,383.338
40,2031.1,12.1276,352.457
41,2051.62,12.0603,327.916
42,2052.8,11.7743,354.836
43,2046.42,13.2523,369.56
44,2059.67,14.7051,417.375
45,2038.06,13.6833,371.943
46,2043.95,12.3913,341.127
47,2034.75,11.6421,338.731
48,2042.56,13.4888,372.628
49,2045.21,12.7421,357.329
50,2041.69,13.3028,372.284
51,2041.97,12.2433,347.886
52,2038.05,13.1478,377.855
53,2042.31,13.187,366.768
54,2038.69,13.4601,375.144
55,2053.12,13.4266,372.464
56,2053.63,12.6125,368.647
57,2053.9,12.0032,343.307
58,2068.22,12.4115,362.692
59,2040.58,12.052,342.185
60,2035.64,14.4554,405.421
61,2047.33,13.4101,375.258
62,2045.07,12.693,369.617
63,2045.73,13.0751,364.326
64,2046.91,13.1814,384.161
65,2058.51,13.2014,365.721
66,2040.1,13.1346,384.504
67,2032.71,12.0451,345.644
68,2054.18,13.5145,344.602
69,2054.28,13.5335,376.117
70,2049.43,12.9163,337.375
71,2038.16,12.65,334.22
72,2037.99,14.6262,405.516
73,2049.65,11.9378,338.533
74,2040.67,13.8568,390.008
75,2062.55,11.4895,328.433
76,2054.23,13.2116,368.785
77,2051.82,12.9285,356.597
78,2044.51,12.4619,342.882
79,2056.61,12.8669,364.249
80,2039.54,12.6646,341.409
81,2045.29,13.1372,380.449
82,2059.17,11.7962,345.224
83,2038.83,12.4685,364.913
84,2042.43,12.7563,356.687
85,2042.26,12.3568,355.888
86,2035.05,12.7383,354.575
87,2050.78,12.0866,351.601
88,2036.06,11.6216,339.183
89,2061.15,13.4153,404.023
90,2045.87,12.7889,368.969
91,2054.29,13.2596,389.719
92,2038.87,11.1615,325.732
93,2063.25,12.4979,366.463
94,2039.68,12.6528,349.101
95,2049.25,12.6776,368.982
96,2054.21,12.5747,345.928
97,2053.56,11.4785,328.645
98,2047.77,11.7719,335.365
99,2054.37,11.9612,348.771
100,2055.96,12.8773,362.351
101,2036.66,12.097,335.365
