TABLE CalEnergyCalib
0,0.0410526
1,0.0392241
2,0.0410526
3,0.0538532
4,0.042346
5,0.0490172
6,0.0426158
7,0.0423774
8,0.0374392
9,0.0349742
10,0.0418953
11,0.0385825
12,0.0376783
13,0.0462738
14,0.0410526
15,0.0505459
16,0.0367532
17,0.0375876
18,0.0437244
19,0.0388236
20,0.0427917
21,0.0441979
22,0.0495282
23,0.0481
24,0.0403511
25,0.0397314
26,0.0379845
27,0.0406934
28,0.0497129
29,0.0479639
30,0.0405819
31,0.0422485
32,0.0410526
33,0.0367776
34,0.0410526
35,0.0363181
36,0.0410694
37,0.0533006
38,0.0452694
39,0.0412507
40,0.040299
41,0.0445325
42,0.0446987
43,0.0384549
44,0.0411548
45,0.0414886
46,0.0400753
47,0.0392542
48,0.0406124
49,0.0435872
50,0.03878
51,0.0404285
52,0.0362522
53,0.0333283
54,0.036414
55,0.0358802
56,0.0460066
57,0.0405655
58,0.0357686
59,0.0337064
60,0.0424403
61,0.0405227
62,0.0416571
63,0.0412057
64,0.0448712
65,0.0488269
66,0.0433341
67,0.0511509
68,0.0432021
69,0.0427743
70,0.0410526
71,0.0453618
72,0.0410526
73,0.0445395
74,0.0410526
75,0.0341594
76,0.0496167
77,0.0447868
78,0.0427396
79,0.0372128
80,0.0385691
81,0.0389075
82,0.0372114
83,0.0410526
84,0.0410526
85,0.0404752
86,0.0410526
87,0.0435512
88,0.0410526
89,0.0439628
90,0.0494756
91,0.0462246
92,0.0450725
93,0.0437053
94,0.0381032
95,0.0371312
96,0.0388304
97,0.038323
98,0.0363253
99,0.034918
100,0.043163
101,0.0446698
102,0.0383164
103,0.040788
104,0.0374735
105,0.0401606
106,0.0435863
107,0.0429387
108,0.0430024
109,0.0411684
110,0.0413334
111,0.0396519
112,0.0350619
113,0.0362417
114,0.0441638
115,0.0450156
116,0.0454112
117,0.0467071
118,0.0410526
119,0.0334655
120,0.0410526
121,0.0457907
122,0.0410526
123,0.0425677
124,0.0468669
125,0.0459147
126,0.0507962
127,0.0312476
128,0.0633152
129,0.0298512
130,0.0477737
131,0.0410526
132,0.0430663
133,0.0544915
134,0.0383039
135,0.0387552
136,0.0475082
137,0.0476202
138,0.0460617
139,0.0483279
140,0.0441794
141,0.0426539
142,0.0407448
143,0.0376875
144,0.0407639
145,0.0392449
146,0.0322549
147,0.0598569
148,0.0424547
149,0.0420442
150,0.0347778
151,0.0324407
152,0.0353245
153,0.032059
154,0.0429692
155,0.0419331
156,0.0319
157,0.0413599
158,0.0460829
159,0.0463983
160,0.043204
161,0.0426812
162,0.035163
163,0.0410526
164,0.0394758
165,0.0410526
166,0.0367945
167,0.033432
168,0.0418813
169,0.0400408
170,0.0350853
171,0.0347584
172,0.0370137
173,0.0377729
174,0.0422949
175,0.0423756
176,0.0410526
177,0.0389219
178,0.0410526
179,0.0403275
180,0.0453607
181,0.0422645
182,0.042053
183,0.0449843
184,0.0377558
185,0.0405195
186,0.0425695
187,0.0443488
188,0.0395257
189,0.0376946
190,0.0529563
191,0.049613
192,0.0410526
193,0.0400994
194,0.0410526
195,0.0443705
196,0.0421692
197,0.0409576
198,0.0405819
199,0.0331131
200,0.0409752
201,0.0412635
202,0.0391834
203,0.0391091
204,0.0424304
205,0.0409324
206,0.0433172
207,0.0408197
208,0.0410526
209,0.0384187
210,0.0410526
211,0.0383583
212,0.0419138
213,0.03878
214,0.0362772
215,0.0362312
216,0.0482241
217,0.0494951
218,0.0394555
219,0.0403527
220,0.0377202
221,0.0368168
222,0.0370281
223,0.0370734
224,0.0384512
225,0.0404326
226,0.0426321
227,0.0408973
228,0.0394314
229,0.0402795
230,0.0368915
231,0.037515
232,0.0380778
233,0.0378122
234,0.0410526
235,0.0428982
236,0.0456757
237,0.0472914
238,0.042715
239,0.0439416
240,0.0375185
241,0.0397314
242,0.0406438
