y   x   disk   phi   crate   board   sensor   BoardIdx   MBconn   ConnIdx   BoardChan   FEEchan   xcry   ycry   cryID   rouID   offID   Type
4   7   0   0   0   2   0   4   2   3   5   85   -171.5   -480.2   192   0   384   CAL
4   8   0   0   0   2   0   4   2   4   6   86   -137.2   -480.2   191   0   382   CAL
4   9   0   0   0   2   0   4   2   5   7   87   -102.9   -480.2   190   0   380   CAL
4   10   0   0   0   3   0   6   2   2   4   124   -68.6   -480.2   189   0   378   CAL
4   11   0   0   0   3   0   6   2   3   5   125   -34.3   -480.2   188   0   376   CAL
4   12   0   0   0   3   0   6   2   4   6   126   0   -480.2   187   0   374   CAL
4   13   0   1   0   3   0   46   4   4   14   934   34.3   -480.2   186   0   372   CAL
4   14   0   1   0   3   0   46   4   5   15   935   68.6   -480.2   185   0   370   CAL
4   15   0   1   0   2   0   44   3   5   11   891   102.9   -480.2   184   0   368   CAL
4   16   0   1   0   2   0   44   4   2   12   892   137.2   -480.2   183   0   366   CAL
4   17   0   1   0   2   0   44   4   3   13   893   171.5   -480.2   182   0   364   CAL
4   18   0   1   0   1   0   42   2   4   6   846   205.8   -480.2   181   0   362   CAL
4   19   0   1   0   1   0   42   2   5   7   847   240.1   -480.2   180   0   360   CAL
4   20   0   1   0   1   0   42   3   2   8   848   274.4   -480.2   266   0   532   CAL
4   21   0   1   0   1   0   42   3   3   9   849   308.7   -480.2   358   0   716   CAL
4   22   0   1   0   0   0   40   1   3   1   801   343   -480.2   452   0   904   CAL
4   23   0   1   0   0   0   40   1   4   2   802   377.3   -480.2   540   0   1080   CAL
4   24   0   1   0   0   0   40   1   5   3   803   411.6   -480.2   609   0   1218   CAPHRI
5   0   0   0   1   3   0   14   5   5   19   299   -428.8   -445.9   611   0   1222   CAL
5   1   0   0   0   0   0   0   3   5   11   11   -394.5   -445.9   553   0   1106   CAL
5   2   0   0   0   0   0   0   4   2   12   12   -360.1   -445.9   472   0   944   CAL
5   3   0   0   0   0   0   0   4   3   13   13   -325.9   -445.9   379   0   758   CAL
5   4   0   0   0   0   0   0   4   4   14   14   -291.5   -445.9   284   0   568   CAL
5   5   0   0   0   1   0   2   3   2   8   48   -257.2   -445.9   195   0   390   CAL
5   6   0   0   0   1   0   2   3   3   9   49   -222.9   -445.9   112   0   224   CAL
5   7   0   0   0   1   0   2   3   4   10   50   -188.6   -445.9   111   0   222   CAL
5   8   0   0   0   2   0   4   1   4   2   82   -154.4   -445.9   110   0   220   CAL
5   9   0   0   0   2   0   4   1   5   3   83   -120.1   -445.9   109   0   218   CAL
5   10   0   0   0   2   0   4   2   2   4   84   -85.8   -445.9   108   0   216   CAL
5   11   0   0   0   3   0   6   1   4   2   122   -51.5   -445.9   107   0   214   CAL
5   12   0   0   0   3   0   6   1   5   3   123   -17.1   -445.9   106   0   212   CAL
5   13   0   1   0   3   0   46   5   2   16   936   17.1   -445.9   105   0   210   CAL
5   14   0   1   0   3   0   46   5   3   17   937   51.5   -445.9   104   0   208   CAL
5   15   0   1   0   2   0   44   4   4   14   894   85.8   -445.9   103   0   206   CAL
5   16   0   1   0   2   0   44   4   5   15   895   120.1   -445.9   102   0   204   CAL
5   17   0   1   0   2   0   44   5   2   16   896   154.4   -445.9   101   0   202   CAL
5   18   0   1   0   1   0   42   3   4   10   850   188.6   -445.9   100   0   200   CAL
5   19   0   1   0   1   0   42   3   5   11   851   222.9   -445.9   99   0   198   CAL
5   20   0   1   0   1   0   42   4   2   12   852   257.2   -445.9   179   0   358   CAL
5   21   0   1   0   1   0   42   4   3   13   853   291.5   -445.9   265   0   530   CAL
5   22   0   1   0   0   0   40   2   2   4   804   325.9   -445.9   357   0   714   CAL
5   23   0   1   0   0   0   40   2   3   5   805   360.1   -445.9   451   0   902   CAL
5   24   0   1   0   0   0   40   2   4   6   806   394.5   -445.9   539   0   1078   CAL
5   25   0   1   0   0   0   40   2   5   7   807   428.8   -445.9   608   0   1216   CAL
6   0   0   0   1   3   0   14   5   4   18   298   -480.2   -411.6   656   0   1312   CAL
6   1   0   0   1   3   0   14   5   3   17   297   -445.9   -411.6   612   0   1224   CAL
6   2   0   0   1   3   0   14   5   2   16   296   -411.6   -411.6   554   0   1108   CAL
6   3   0   0   0   0   0   0   2   5   7   7   -377.3   -411.6   473   0   946   CAL
6   4   0   0   0   0   0   0   3   2   8   8   -343   -411.6   380   0   760   CAL
6   5   0   0   0   0   0   0   3   3   9   9   -308.7   -411.6   285   0   570   CAL
6   6   0   0   0   0   0   0   3   4   10   10   -274.4   -411.6   196   0   392   CAL
6   7   0   0   0   1   0   2   2   3   5   45   -240.1   -411.6   113   0   226   CAL
6   8   0   0   0   1   0   2   2   4   6   46   -205.8   -411.6   50   0   100   CAL
6   9   0   0   0   1   0   2   2   5   7   47   -171.5   -411.6   49   0   98   CAL
6   10   0   0   0   2   0   4   1   2   0   80   -137.2   -411.6   48   0   96   CAL
6   11   0   0   0   2   0   4   1   3   1   81   -102.9   -411.6   47   0   94   CAL
6   12   0   0   0   3   0   6   1   2   0   120   -68.6   -411.6   46   0   92   CAL
